latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
7.51111,-61.67731,310.81,1.17,1.07,2025-03-11,0122,T,81,6.1NRT,293.14,10.18,N
7.52057,-61.67872,303.06,1.17,1.07,2025-03-11,0122,T,53,6.1NRT,292.47,4.17,N
7.59477,-63.39601,309.78,1.49,1.21,2025-03-11,0122,T,78,6.1NRT,294.31,11.68,N
7.9282,-62.95103,306.92,1.37,1.16,2025-03-11,0122,T,15,6.1NRT,293.97,10.64,N
8.15147,-63.37339,319.99,1.46,1.19,2025-03-11,0122,T,99,6.1NRT,295.57,26.04,N
8.14951,-63.38633,327.34,1.46,1.19,2025-03-11,0122,T,100,6.1NRT,296,39.9,N
7.25202,-69.72506,317.32,4.79,2,2025-03-11,0122,T,95,6.1NRT,273.19,161.56,N
7.25274,-69.72984,316.31,4.79,2,2025-03-11,0122,T,93,6.1NRT,274.38,154.76,N
8.51653,-63.06535,305.75,1.37,1.16,2025-03-11,0122,T,17,6.1NRT,295.29,6.31,N
8.52673,-63.0669,309.2,1.37,1.16,2025-03-11,0122,T,73,6.1NRT,295.47,9.61,N
8.56214,-63.02938,305.7,1.36,1.15,2025-03-11,0122,T,64,6.1NRT,295.37,6.67,N
8.56032,-63.04139,306.87,1.36,1.16,2025-03-11,0122,T,68,6.1NRT,295.31,7.41,N
8.51714,-63.85296,305.86,1.55,1.23,2025-03-11,0122,T,51,6.1NRT,295.84,6.97,N
8.55292,-64.13052,307.64,1.63,1.26,2025-03-11,0122,T,69,6.1NRT,295.72,10.99,N
8.55076,-64.14487,305.6,1.63,1.26,2025-03-11,0122,T,60,6.1NRT,295.52,8.38,N
8.84087,-62.24697,321.11,1.21,1.09,2025-03-11,0122,T,100,6.1NRT,294.53,23.02,N
8.83932,-62.25766,311.61,1.21,1.09,2025-03-11,0122,T,83,6.1NRT,294.14,12.19,N
8.67316,-63.8692,306.08,1.55,1.23,2025-03-11,0122,T,62,6.1NRT,295.5,8.77,N
8.71825,-64.40819,314.64,1.7,1.28,2025-03-11,0122,T,89,6.1NRT,294.63,22.17,N
8.71977,-64.39953,312.46,1.69,1.28,2025-03-11,0122,T,83,6.1NRT,294.84,18.82,N
8.71744,-64.4144,308.5,1.7,1.28,2025-03-11,0122,T,58,6.1NRT,294.34,12.94,N
8.73101,-64.40124,307.02,1.69,1.28,2025-03-11,0122,T,66,6.1NRT,294.39,10.9,N
9.15213,-62.8567,310.81,1.3,1.13,2025-03-11,0122,T,81,6.1NRT,294.62,12.49,N
9.24007,-62.81761,321.32,1.29,1.13,2025-03-11,0122,T,100,6.1NRT,293.99,26.36,N
9.56023,-61.53717,300.36,1.09,1.04,2025-03-11,0122,T,22,6.1NRT,288.57,4.32,N
9.62696,-61.45433,314.05,1.08,1.04,2025-03-11,0122,T,88,6.1NRT,290.81,12.86,N
9.64665,-61.44746,316.05,1.08,1.04,2025-03-11,0122,T,92,6.1NRT,291.46,14.31,N
9.64526,-61.45708,304.53,1.08,1.04,2025-03-11,0122,T,40,6.1NRT,290.95,5.04,N
9.40303,-63.1647,310.62,1.35,1.15,2025-03-11,0122,T,80,6.1NRT,293.93,12.82,N
9.66356,-61.45982,314.88,1.08,1.04,2025-03-11,0122,T,90,6.1NRT,291.39,12.93,N
9.41493,-63.15437,313.51,1.35,1.15,2025-03-11,0122,T,73,6.1NRT,293.71,14.97,N
9.41137,-63.17818,314.81,1.35,1.15,2025-03-11,0122,T,90,6.1NRT,293.95,16.16,N
9.40958,-63.19013,339.8,1.35,1.15,2025-03-11,0122,T,100,6.1NRT,294.96,63.72,N
9.40779,-63.20211,312.23,1.36,1.15,2025-03-11,0122,T,84,6.1NRT,293.96,14.54,N
9.67271,-61.46117,306.34,1.08,1.04,2025-03-11,0122,T,68,6.1NRT,291.59,6.51,N
9.67132,-61.47081,301.64,1.09,1.04,2025-03-11,0122,T,26,6.1NRT,290.64,3.38,N
9.42504,-63.15594,313.84,1.35,1.15,2025-03-11,0122,T,69,6.1NRT,293.94,15.18,N
9.42326,-63.16785,363.08,1.35,1.15,2025-03-11,0122,T,100,6.1NRT,295.78,143.12,N
